"date","water_temp"
2016-01-15,8.45
2016-01-16,7.475
2016-01-17,7.025
2016-01-18,9.95
2016-01-19,9.65
2016-01-20,10.21
2016-01-21,9.875
2016-01-22,10.44
2016-01-23,13.25
2016-01-24,11.83
2016-01-25,14.11
2016-01-26,14.56
2016-01-27,14.75
2016-01-28,12.8
2016-01-29,12.39
2016-01-30,12.65
2016-01-31,12.09
2016-02-01,13.1
2016-02-02,11.38
2016-02-03,12.2
2016-02-04,9.312
2016-02-05,11.9
2016-02-06,11.6
2016-02-07,10.4
2016-02-08,12.2
2016-02-09,13.33
2016-02-10,12.88
2016-02-11,12.69
2016-02-12,15.12
2016-02-13,15.61
2016-02-14,13.4
2016-02-15,11.04
2016-02-16,9.163
2016-02-17,9.087
2016-02-18,8.262
2016-02-19,9.312
2016-02-20,10.29
2016-02-21,11.86
2016-02-22,14.71
2016-02-23,12.76
2016-02-24,11.98
2016-02-25,12.24
2016-02-26,10.96
2016-02-27,11.19
2016-02-28,11.71
